case_id,hidden_pattern_category,practitioner_choice,zpd_choice,dqn_choice,practitioner_agrees_zpd,practitioner_agrees_dqn,zpd_dqn_agree
CASE_01,declining,B,B,B,1,1,1
CASE_02,consistently_strong,A,A,B,1,0,0
CASE_03,consistently_strong,A,B,B,0,0,1
CASE_04,consistently_struggling,B,B,B,1,1,1
CASE_05,support_mixed,B,A,B,0,1,0
CASE_06,consistently_strong,A,A,B,1,0,0
CASE_07,mixed_noisy,A,A,B,1,0,0
CASE_08,improving,A,A,B,1,0,0
CASE_09,improving,A,B,B,0,0,1
CASE_10,consistently_struggling,B,A,B,0,1,0
CASE_11,declining,B,A,B,0,1,0
CASE_12,improving,A,B,B,0,0,1
CASE_13,support_mixed,B,B,B,1,1,1
CASE_14,support_mixed,A,A,B,1,0,0
CASE_15,declining,B,A,B,0,1,0
CASE_16,mixed_noisy,A,A,B,1,0,0
CASE_17,improving,A,A,B,1,0,0
CASE_18,support_mixed,B,B,B,1,1,1
CASE_19,mixed_noisy,B,B,B,1,1,1
CASE_20,consistently_struggling,B,A,A,0,0,1
CASE_21,consistently_strong,A,B,B,0,0,1
CASE_22,consistently_struggling,B,B,B,1,1,1
CASE_23,declining,B,B,B,1,1,1
CASE_24,mixed_noisy,B,B,B,1,1,1
