case_id,hidden_pattern_category,target_interaction_id,zpd_choice,zpd_action,_interaction_key,dqn_action,dqn_choice,practitioner_choice,practitioner_agrees_zpd,practitioner_agrees_dqn,zpd_dqn_agree
CASE_01,declining,74712055,B,1,74712055,1,B,B,1,1,1
CASE_02,consistently_strong,104421011,A,0,104421011,1,B,A,1,0,0
CASE_03,consistently_strong,118208838,B,1,118208838,1,B,A,0,0,1
CASE_04,consistently_struggling,186842310,B,1,186842310,1,B,B,1,1,1
CASE_05,support_mixed,73746524,A,0,73746524,1,B,B,0,1,0
CASE_06,consistently_strong,181329250,A,0,181329250,1,B,A,1,0,0
CASE_07,mixed_noisy,84958775,A,0,84958775,1,B,A,1,0,0
CASE_08,improving,119325089,A,0,119325089,1,B,A,1,0,0
CASE_09,improving,98144512,B,1,98144512,1,B,A,0,0,1
CASE_10,consistently_struggling,181634598,A,0,181634598,1,B,B,0,1,0
CASE_11,declining,148643492,A,0,148643492,1,B,B,0,1,0
CASE_12,improving,69692643,B,1,69692643,1,B,A,0,0,1
CASE_13,support_mixed,119001957,B,1,119001957,1,B,B,1,1,1
CASE_14,support_mixed,171597703,A,0,171597703,1,B,A,1,0,0
CASE_15,declining,158991741,A,0,158991741,1,B,B,0,1,0
CASE_16,mixed_noisy,47025806,A,0,47025806,1,B,A,1,0,0
CASE_17,improving,25599691,A,0,25599691,1,B,A,1,0,0
CASE_18,support_mixed,156741372,B,1,156741372,1,B,B,1,1,1
CASE_19,mixed_noisy,140122869,B,1,140122869,1,B,B,1,1,1
CASE_20,consistently_struggling,100598223,A,0,100598223,0,A,B,0,0,1
CASE_21,consistently_strong,190709590,B,1,190709590,1,B,A,0,0,1
CASE_22,consistently_struggling,96222267,B,1,96222267,1,B,B,1,1,1
CASE_23,declining,84900156,B,1,84900156,1,B,B,1,1,1
CASE_24,mixed_noisy,90578493,B,1,90578493,1,B,B,1,1,1
