case_id,Skill / topic,Attempt 1,Attempt 2,Attempt 3,Attempt 4,Attempt 5,Attempt 6,Next question - type,Next question - difficulty,Next question - answer type,Question,Option A,Option B
CASE_01,Solve Unit Rate Problems,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),medium,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_02,Solve Problems Involving Percents,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Fill-in-the-blank(s),easy,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_03,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Fill-in-the-blank(s),medium,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_04,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),easy,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_05,Represent Proportional Relationships with Equations,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Algebraic Expression | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Algebraic Expression | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),very_hard,Algebraic Expression,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_06,Solve Unit Rate Problems,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Fill-in-the-blank(s),easy,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_07,Use Proportional Relationships to Solve Ratio & Percent Problems,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Fill-in-the-blank(s),very_easy,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_08,Apply Properties of Operations to Multiply/Divide Rational Numbers,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: hard | Answer type: Multiple Choice | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Fill-in-the-blank(s),very_easy,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_09,Solve 2-Step Equations,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Fill-in-the-blank(s),hard,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_10,Solve Problems Involving Percents,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Order / Sort,very_hard,Ordering,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
CASE_11,Solve 2-Step Equations,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Fill-in-the-blank(s),very_hard,Numeric,"For the learner's next attempt on this skill and the specified next question, what level of support would you provide?",Allow independent attempt,Provide scaffold / support
