case_id,hidden_pattern_category,zpd_multiple_choice,zpd_action,practitioner_choice
CASE_01,declining,B,1,
CASE_02,consistently_strong,A,0,
CASE_03,consistently_strong,B,1,
CASE_04,consistently_struggling,B,1,
CASE_05,support_mixed,A,0,
CASE_06,consistently_strong,A,0,
CASE_07,mixed_noisy,A,0,
CASE_08,improving,A,0,
CASE_09,improving,B,1,
CASE_10,consistently_struggling,A,0,
CASE_11,declining,A,0,
CASE_12,improving,B,1,
CASE_13,support_mixed,B,1,
CASE_14,support_mixed,A,0,
CASE_15,declining,A,0,
CASE_16,mixed_noisy,A,0,
CASE_17,improving,A,0,
CASE_18,support_mixed,B,1,
CASE_19,mixed_noisy,B,1,
CASE_20,consistently_struggling,A,0,
CASE_21,consistently_strong,B,1,
CASE_22,consistently_struggling,B,1,
CASE_23,declining,B,1,
CASE_24,mixed_noisy,B,1,
