case_id,hidden_pattern_category,zpd_action,zpd_decision,current_independence_estimate,current_zpd_score,Skill / topic,Next question - type,Next question - difficulty,Next question - answer type,Attempt 1,Attempt 2,Attempt 3,Attempt 4,Attempt 5,Attempt 6
CASE_01,declining,1,Provide scaffold,0.6580424308776855,0.8101626564693185,Solve Unit Rate Problems,Fill-in-the-blank(s),medium,Numeric,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_02,consistently_strong,0,Allow independent attempt,0.8556427955627441,0.24410793946396162,Solve Problems Involving Percents,Fill-in-the-blank(s),easy,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No
CASE_03,consistently_strong,1,Provide scaffold,0.7169618010520935,0.6588736233616929,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",Fill-in-the-blank(s),medium,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: Independent first-try success | Support used: No
CASE_04,consistently_struggling,1,Provide scaffold,0.47584402561187744,0.9953373589741187,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",Fill-in-the-blank(s),easy,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_05,support_mixed,0,Allow independent attempt,0.1553787738084793,0.2755670869670849,Represent Proportional Relationships with Equations,Fill-in-the-blank(s),very_hard,Algebraic Expression,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Algebraic Expression | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Algebraic Expression | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_06,consistently_strong,0,Allow independent attempt,0.8856546878814697,0.1640913026556581,Solve Unit Rate Problems,Fill-in-the-blank(s),easy,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: very_easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: Independent first-try success | Support used: No
CASE_07,mixed_noisy,0,Allow independent attempt,0.8757448792457581,0.18945400355183217,Use Proportional Relationships to Solve Ratio & Percent Problems,Fill-in-the-blank(s),very_easy,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Multiple Choice (select all) | Difficulty: very_hard | Answer type: Check All That Apply | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_08,improving,0,Allow independent attempt,0.8213014602661133,0.34464118895912627,Apply Properties of Operations to Multiply/Divide Rational Numbers,Fill-in-the-blank(s),very_easy,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Multiple Choice (select 1) | Difficulty: hard | Answer type: Multiple Choice | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No
CASE_09,improving,1,Provide scaffold,0.6974677443504333,0.712379820756567,Solve 2-Step Equations,Fill-in-the-blank(s),hard,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No
CASE_10,consistently_struggling,0,Allow independent attempt,0.08143433928489685,0.08952731269155882,Solve Problems Involving Percents,Order / Sort,very_hard,Ordering,Question type: Multiple Choice (select 1) | Difficulty: easy | Answer type: Multiple Choice | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: medium | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes
CASE_11,declining,0,Allow independent attempt,0.13250909745693207,0.21141764580151162,Solve 2-Step Equations,Fill-in-the-blank(s),very_hard,Numeric,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: very_easy | Answer type: Numeric | Outcome: Independent first-try success | Support used: No,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: Yes,Question type: Fill-in-the-blank(s) | Difficulty: hard | Answer type: Numeric | Outcome: No independent first-try success | Support used: No
