case_id,source_user_id,source_skill_code,target_interaction_id,hidden_pattern_category,success_count,support_count,first_three_success_rate,last_three_success_rate,trend,alternations,current_independence_estimate,current_zpd_score,zpd_action,zpd_decision,zpd_multiple_choice
CASE_01,e91d90821c795cf5330e966223c38087b50285eadf8fbd13a52faae9cc1e56fe,102,74712055,declining,3,2,1.0,0.0,-1.0,1,0.6580424308776855,0.8101626564693185,1,Provide scaffold,B
CASE_02,62e3006f0ca2925701d5ef89ec7508e964fccd580b6715aa76bec56d875ad002,96,104421011,consistently_strong,6,0,1.0,1.0,0.0,0,0.8556427955627441,0.24410793946396162,0,Allow independent attempt,A
CASE_03,6fc2de10771b7bac1a6185d2426fb4b42c64963cfa0ce807298c464219febbf2,1,118208838,consistently_strong,6,0,1.0,1.0,0.0,0,0.7169618010520935,0.6588736233616929,1,Provide scaffold,B
CASE_04,3ae685a71c46c10b84c2383717c9b4af784b995620539dbd0ca021eeff879745,1,186842310,consistently_struggling,0,6,0.0,0.0,0.0,0,0.47584402561187744,0.9953373589741187,1,Provide scaffold,B
CASE_05,19dd0ef62dcb3b39fc852bd26cd0cea036c28a31689e42bf529d412c8c8ea42e,88,73746524,support_mixed,3,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0.1553787738084793,0.2755670869670849,0,Allow independent attempt,A
CASE_06,e50b9b525452be73aba7c9f53ba5f2744867587199694575effacacfcb2f9136,102,181329250,consistently_strong,6,0,1.0,1.0,0.0,0,0.8856546878814697,0.1640913026556581,0,Allow independent attempt,A
CASE_07,f32d3d29277706b7dbba01c8cc239de35fb721e0c0f708dfedb46b0cedbc8b5b,129,84958775,mixed_noisy,3,2,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0.8757448792457581,0.18945400355183217,0,Allow independent attempt,A
CASE_08,35a83e3f4f2d2e021f99650e11b9882dce93413f4b21a8d181df5ec92ccfae0e,5,119325089,improving,3,1,0.0,1.0,1.0,1,0.8213014602661133,0.34464118895912627,0,Allow independent attempt,A
CASE_09,7378f155749e83582dc619343b0eddb45a8a689c43b876c96ec1f3ba6e0d8f9d,91,98144512,improving,3,1,0.0,1.0,1.0,1,0.6974677443504333,0.712379820756567,1,Provide scaffold,B
CASE_10,3e18c5c4ecca4220f861919e94017ad3f87ad65f04a1c5a659fcdbab3524a598,96,181634598,consistently_struggling,0,6,0.0,0.0,0.0,0,0.08143433928489685,0.08952731269155882,0,Allow independent attempt,A
CASE_11,f807f2b9a71ef5599603d1417eb3a84d8abcfa5b11b7fb4e5e901a3edf4ee923,91,148643492,declining,3,2,1.0,0.0,-1.0,1,0.13250909745693207,0.21141764580151162,0,Allow independent attempt,A
CASE_12,9adb692c735180022c8e73d8029b438aab22b4ae00e265c1deb45b0fffa750f7,96,69692643,improving,3,2,0.0,1.0,1.0,1,0.6780003905296326,0.7625890424262279,1,Provide scaffold,B
CASE_13,eb7ddb5b6c438525525bd98b8d2f82d7fe20943071a3b2cb7147997ff15eb020,95,119001957,support_mixed,3,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0.5875019431114197,0.9396852535524843,1,Provide scaffold,B
CASE_14,f93d674ccdff94b3192eedbd82217340f35e24f83f18ddf4f1bbb677708e80e5,91,171597703,support_mixed,3,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,5,0.18028709292411804,0.3494401486528415,0,Allow independent attempt,A
CASE_15,24f5cf00137be7ab219e674e5c88d4a40a29f1ea29f4f9dda67ebc05b9212f9d,53,158991741,declining,3,1,1.0,0.0,-1.0,1,0.7875537872314453,0.44789727283079,0,Allow independent attempt,A
CASE_16,0dbf84f4e91627089e3e31a30d04bb43774c7f7c4c02473b76d9589043e252d7,53,47025806,mixed_noisy,3,2,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0.7767128348350525,0.48124747745670854,0,Allow independent attempt,A
CASE_17,369797e949b5a8deab0a1c57d0718e72488b80aef08924e2e7875c0271437f5f,91,25599691,improving,3,3,0.0,1.0,1.0,1,0.8380324244499207,0.29477984766422166,0,Allow independent attempt,A
CASE_18,49e3ac547947bc46d06791b73b28373061518219c9c46a3c795d8623ca808c7b,9,156741372,support_mixed,3,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,5,0.5999539494514465,0.9216707187125559,1,Provide scaffold,B
CASE_19,b38f22737b220290a96bb87104a39715aaa7c926a534b2577599125735e936e1,102,140122869,mixed_noisy,3,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0.26524215936660767,0.6077060370722668,1,Provide scaffold,B
CASE_20,41b6604d26423f8e647c54d1ade9e44602a159097f303e8cec46b752088d2651,76,100598223,consistently_struggling,0,6,0.0,0.0,0.0,0,0.13807065784931183,0.2266032329319846,0,Allow independent attempt,A
CASE_21,c275346d259610df26077b8aedb4cbd1de18c1485861424071d37dd2993fe5ba,45,190709590,consistently_strong,6,0,1.0,1.0,0.0,0,0.7459357380867004,0.5746586795054496,1,Provide scaffold,B
CASE_22,1811ca0b49da823f9ec3467a7acf641738ecc8ce32a43fdc308e00140185955d,64,96222267,consistently_struggling,0,5,0.0,0.0,0.0,0,0.3553408980369568,0.8395964846499917,1,Provide scaffold,B
CASE_23,0838510b59c45d356fd8efb3c2664833c8c057ec6ea397aad387c5691f5a08fc,134,84900156,declining,3,2,1.0,0.0,-1.0,1,0.5536478161811829,0.9771078288171628,1,Provide scaffold,B
CASE_24,f1492105f6b5a5a10c7ce7403fc05d80e13e2f4763b3261e9d3cb4b9d0f1215d,70,90578493,mixed_noisy,3,1,0.6666666666666666,0.3333333333333333,-0.3333333333333333,5,0.39761075377464294,0.9178900177863034,1,Provide scaffold,B
