Source,Target,Type,Weight,TransitionCount,DirectionScore
Use Proportional Relationships to Solve Ratio & Percent Problems,Understand Equivalent Expressions in Context,Directed,2377,5749,0.7567460839805187
Identify Proportional Relationships,Use Proportional Relationships to Solve Ratio & Percent Problems,Directed,2313,5057,0.7309916160740099
Solve Problems Involving Percents,Solve Unit Rate Problems,Directed,2060,6678,0.7092183517417162
Apply Properties of Operations to Add/Subtract Rational Numbers,Identify Proportional Relationships,Directed,2001,3119,0.9422960725075529
Solve Scale Drawing Problems,Solve 1-Step Equations & Inequalities Using Substitution,Directed,1992,3326,0.7472478094810155
Interpret & Compare Rational Numbers in Real-World Contexts,Interpret Sums of Rational Numbers,Directed,1840,1910,0.9641595153962645
Identify Proportional Relationships,Represent Proportional Relationships with Equations,Directed,1840,2174,0.7986774430565761
Use Proportional Relationships to Solve Ratio & Percent Problems,Convert a Rational Number to a Decimal,Directed,1810,1857,0.9397773279352226
Apply Properties of Operations to Multiply/Divide Rational Numbers,Create Tables to Compare Equivalent Ratios,Directed,1745,1783,0.9330193615907901
Interpret Sums of Rational Numbers,Use Proportional Relationships to Solve Ratio & Percent Problems,Directed,1708,1827,0.9162487462387161
Identify the Constant of Proportionality,Solve Scale Drawing Problems,Directed,1669,2717,0.9135843981170141
Solve 2-Step Equations,Compute Unit Rates with Fractions,Directed,1633,1661,0.848314606741573
Generate Equivalent Expressions using Properties of Operations,Identify Equivalent Expressions,Directed,1550,2643,0.8965400271370421
Identify Proportional Relationships,Understand Equivalent Expressions in Context,Directed,1541,1594,0.9522102747909199
"Find Area, Volume & Surface Area of 2D/3D Objects",Use Facts About Angles to Write & Solve Equations,Directed,1502,3379,0.7904093567251462
Draw Geometric Shapes & Unique Triangles,Identify Proportional Relationships,Directed,1485,2258,0.8246895544192842
Convert a Rational Number to a Decimal,Solve Problems Involving Area & Circumference of Circles,Directed,1445,1480,0.9840425531914894
Understand Equivalent Expressions in Context,Apply Properties of Operations to Create Equivalent Expressions,Directed,1415,1540,0.8346883468834688
Represent Proportional Relationships with Equations,Solve Problems Involving Area & Circumference of Circles,Directed,1415,1876,0.8107173725151253
Apply Area & Perimeter Formulas for Rectangles,Write & Evaluate Numerical Expressions with Exponents,Directed,1364,1412,0.9908771929824561
Use Facts About Angles to Write & Solve Equations,Represent Proportional Relationships with Equations,Directed,1341,1872,0.9473684210526315
Create Tables to Compare Equivalent Ratios,Solve Problems Involving Area & Circumference of Circles,Directed,1336,1374,0.9423868312757202
"Add, Subtract, Multiply & Divide Multi-Digit Decimals",Solve Problems Involving Percents,Directed,1333,1661,0.7147160068846816
Interpret & Compute using Division of Fractions,Solve Problems Involving Percents,Directed,1326,2240,0.827790096082779
Understand & Describe Ratios,Apply Area & Perimeter Formulas for Rectangles,Directed,1312,1355,0.9919472913616398
Understand Equivalent Expressions in Context,Solve Problems Involving Area & Circumference of Circles,Directed,1284,1355,0.9854545454545455
Classify 2D Figures Based on Properties,"Find the Area of Triangles, Quadrilaterals & Polygons",Directed,1270,1325,0.7173795343800758
Solve Scale Drawing Problems,Solve Unit Rate Problems,Directed,1191,1228,0.8545581071677105
Write & Evaluate Numerical Expressions with Exponents,"Find the Area of Triangles, Quadrilaterals & Polygons",Directed,1188,1225,0.9768740031897927
Write & Solve 1-Step Equations,Solve 1-Step Equations & Inequalities Using Substitution,Directed,1181,1360,0.7176781002638523
Create Tables to Compare Equivalent Ratios,Represent 3D Figures Using Nets to Find Surface Area,Directed,1155,1449,0.8599406528189911
Solve Problems Involving Area & Circumference of Circles,Solve Scale Drawing Problems,Directed,1149,1212,0.9366306027820711
Use Proportional Relationships to Solve Ratio & Percent Problems,Solve Scale Drawing Problems,Directed,1131,1154,0.7719063545150502
"Solve, Graph & Interpret 2-Step Inequalities",Understand Equivalent Expressions in Context,Directed,1120,1333,0.9541875447387258
Write & Evaluate Numerical Expressions with Exponents,Write & Solve 1-Step Equations,Directed,1071,1220,0.8997050147492626
Represent Sample Spaces for Compound Events,Develop a Uniform Probabilty Model of a Single Event,Directed,1065,1075,0.9125636672325976
Find the Volume of Rectangular Prisms with Fractional Sides,"Find the Area of Triangles, Quadrilaterals & Polygons",Directed,1047,1072,0.8985750209555742
Interpret & Compare Integers Using a Number Line,Interpret & Compare Rational Numbers in Real-World Contexts,Directed,1039,1057,0.7935435435435435
Use Facts About Angles to Write & Solve Equations,"Solve, Graph & Interpret 2-Step Inequalities",Directed,1033,1046,0.9543795620437956
Identify Equivalent Expressions,Write Expressions with Numbers & Variables,Directed,1018,1070,0.9553571428571429
Interpret & Compare Integers Using a Number Line,Plot Integers Points on a Number Line & Coordinate Planes,Directed,1017,1044,0.9338103756708408
Apply Properties of Operations to Multiply/Divide Rational Numbers,Understand Properties of Subtracting Rational Numbers,Directed,1016,1024,0.9770992366412213
