Id,Label,Interactions,UniqueStudents,AccuracyPercent
"Add, Subtract, Multiply & Divide Multi-Digit Decimals","Add, Subtract, Multiply & Divide Multi-Digit Decimals",38825,2247,69.93
Apply Area & Perimeter Formulas for Rectangles,Apply Area & Perimeter Formulas for Rectangles,5779,1883,74.32
Apply Properties of Operations to Add/Subtract Rational Numbers,Apply Properties of Operations to Add/Subtract Rational Numbers,27911,2838,63.72
Apply Properties of Operations to Create Equivalent Expressions,Apply Properties of Operations to Create Equivalent Expressions,17136,2597,46.63
Apply Properties of Operations to Multiply/Divide Rational Numbers,Apply Properties of Operations to Multiply/Divide Rational Numbers,39421,2858,70.15
Classify 2D Figures Based on Properties,Classify 2D Figures Based on Properties,1409,1328,63.73
Compute Unit Rates with Fractions,Compute Unit Rates with Fractions,13926,2500,64.71
Convert a Rational Number to a Decimal,Convert a Rational Number to a Decimal,3904,2253,80.97
Create Tables to Compare Equivalent Ratios,Create Tables to Compare Equivalent Ratios,32398,4172,58.9
Develop a Uniform Probabilty Model of a Single Event,Develop a Uniform Probabilty Model of a Single Event,2306,1265,61.62
Draw Geometric Shapes & Unique Triangles,Draw Geometric Shapes & Unique Triangles,10548,1851,60.33
"Find Area, Volume & Surface Area of 2D/3D Objects","Find Area, Volume & Surface Area of 2D/3D Objects",25416,2322,51.11
"Find the Area of Triangles, Quadrilaterals & Polygons","Find the Area of Triangles, Quadrilaterals & Polygons",61809,3945,55.06
Find the Volume of Rectangular Prisms with Fractional Sides,Find the Volume of Rectangular Prisms with Fractional Sides,6733,2123,47.94
Generate Equivalent Expressions using Properties of Operations,Generate Equivalent Expressions using Properties of Operations,9291,2285,64.43
Identify Equivalent Expressions,Identify Equivalent Expressions,9549,1927,65.73
Identify Proportional Relationships,Identify Proportional Relationships,59787,3683,61.69
Identify the Constant of Proportionality,Identify the Constant of Proportionality,13503,2912,57.37
Interpret & Compare Integers Using a Number Line,Interpret & Compare Integers Using a Number Line,10312,1665,74.58
Interpret & Compare Rational Numbers in Real-World Contexts,Interpret & Compare Rational Numbers in Real-World Contexts,4898,2988,76.95
Interpret & Compute using Division of Fractions,Interpret & Compute using Division of Fractions,67273,3202,60.99
Interpret Sums of Rational Numbers,Interpret Sums of Rational Numbers,7714,2218,75.11
Plot Integers Points on a Number Line & Coordinate Planes,Plot Integers Points on a Number Line & Coordinate Planes,3933,1382,61.91
Represent 3D Figures Using Nets to Find Surface Area,Represent 3D Figures Using Nets to Find Surface Area,21090,1908,54.88
Represent Proportional Relationships with Equations,Represent Proportional Relationships with Equations,45180,3292,60.44
Represent Sample Spaces for Compound Events,Represent Sample Spaces for Compound Events,7503,1452,67.93
Solve 1-Step Equations & Inequalities Using Substitution,Solve 1-Step Equations & Inequalities Using Substitution,22994,4096,74.1
Solve 2-Step Equations,Solve 2-Step Equations,78961,2998,61.46
Solve Problems Involving Area & Circumference of Circles,Solve Problems Involving Area & Circumference of Circles,83276,2671,57.0
Solve Problems Involving Percents,Solve Problems Involving Percents,78016,3325,65.67
Solve Scale Drawing Problems,Solve Scale Drawing Problems,90175,3414,51.67
Solve Unit Rate Problems,Solve Unit Rate Problems,92599,3634,66.07
"Solve, Graph & Interpret 2-Step Inequalities","Solve, Graph & Interpret 2-Step Inequalities",18539,2456,57.76
Understand & Describe Ratios,Understand & Describe Ratios,8148,2141,56.37
Understand Equivalent Expressions in Context,Understand Equivalent Expressions in Context,11412,2939,49.73
Understand Properties of Subtracting Rational Numbers,Understand Properties of Subtracting Rational Numbers,4320,1609,50.23
Use Facts About Angles to Write & Solve Equations,Use Facts About Angles to Write & Solve Equations,26666,2571,73.44
Use Proportional Relationships to Solve Ratio & Percent Problems,Use Proportional Relationships to Solve Ratio & Percent Problems,117156,3529,54.62
Write & Evaluate Numerical Expressions with Exponents,Write & Evaluate Numerical Expressions with Exponents,31304,3131,69.36
Write & Solve 1-Step Equations,Write & Solve 1-Step Equations,35163,2447,70.06
Write Expressions with Numbers & Variables,Write Expressions with Numbers & Variables,3638,1595,51.79
